Name,Followers,Stance,Sex,Handle,Tweets,Responses,std,Max.responses,Min.respos,Ave.Response,Resp.Freq,deleted,closed,protected,suspended,Conv.0,Conv.1,Conv.2,Conv.3,Conv.4,Conv.5,Conv.6,Conv.7,Conv.8,Conv.9,Conv.10,Conv.11,Conv.12,Conv.13,Conv.14,Conv.15,Conv.16,Conv.17,Conv.18,Conv.19,Conv.20,Conv.21,Conv.22,Conv.23,Conv.24,Conv.25,Conv.26,Conv.27,Conv.28,Conv.29,Conv.30,Conv.31,Conv.32,Conv.33,Conv.34,Conv.35,Conv.36,Conv.37,Conv.38,Conv.39,Conv.40,Conv.41,Conv.42,Conv.43,Conv.44,Conv.45,Conv.46,Conv.47,Conv.48,Conv.49,Conv.50,Conv.51,Conv.52,Conv.53,Conv.54,Conv.55,Conv.56,Conv.57,Conv.58,Conv.59,Conv.60,Conv.61,Conv.62,Conv.63,Conv.64,Conv.65,Conv.66,Conv.67,Conv.68,Conv.69,Conv.70,Conv.71,Conv.72,Conv.73,Conv.74
Oprah Winfrey,39073735,liberal,female,oprah,40,3563,17.30,99,32,89.08,99:27,154,67,37,44,0,3,3,5,3,7,2,4,1,4,0,0,6,6,4,5,2,4,9,2,3,4,3,1,0,5,3,6,1,1,1,3,0,0,2,4,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela Geller,162854,conservative,female,pamelageller,66,1894,30.99,99,0,28.70,99:7,187,66,8,110,3,12,0,2,0,0,3,1,0,1,0,5,0,4,5,0,0,7,2,0,1,4,13,4,0,1,0,6,0,5,1,4,6,0,3,4,0,0,1,7,3,4,2,0,0,11,1,5,0,1,20,1,8,0,0,0,2,0,4,1,0,0,0,1,1,6,,,,,,,,,
Anderson Cooper,9591467,neutral,male,andersoncooper,29,2595,18.59,99,30,89.48,99:21,149,59,22,63,4,5,10,2,9,8,5,1,7,1,4,4,2,3,8,2,2,4,2,4,6,2,0,9,3,2,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Argento,363289,liberal,female,AsiaArgento,11,446,33.36,99,8,40.55,99:2,49,39,4,5,1,4,1,1,11,1,0,0,8,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Taibbi,332203,liberal,male,mtaibbi,64,2309,32.75,99,1,36.08,99:8,89,44,8,33,2,1,5,0,3,0,1,3,2,0,0,1,0,0,2,0,6,5,0,0,0,2,0,0,1,1,5,2,0,0,3,0,1,1,2,2,2,1,5,3,0,0,2,0,0,0,0,0,1,0,2,1,0,1,2,0,1,0,2,0,1,0,2,0,,,,,,,,,,,
S.E. Cupp,374510,conservative,female,secupp,54,2318,34.13,99,1,42.93,99:10,91,52,4,34,4,0,3,3,3,1,4,4,0,0,6,5,3,0,2,0,1,2,0,1,0,1,1,2,6,1,0,0,0,3,1,0,1,1,2,0,2,0,0,0,2,0,1,3,1,3,2,0,6,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,
Judge Napolitano,503483,conservative,male,judgenap,66,3719,28.43,99,8,56.35,99:11,106,64,19,23,0,3,1,1,0,1,1,1,0,2,1,3,1,0,2,0,0,6,1,0,1,0,0,0,1,2,0,3,0,2,0,0,2,2,4,5,0,0,0,0,0,2,0,3,9,1,2,3,0,0,1,3,0,2,1,1,0,3,3,1,0,0,2,0,0,4,,,,,,,,,
Leslie Jones,759517,liberal,female,lesdoggg,49,2569,34.36,99,3,52.43,99:11,89,42,23,18,3,1,3,3,0,3,1,2,1,0,0,2,2,1,0,3,0,0,0,0,0,1,2,1,0,0,0,0,4,0,0,0,1,6,3,1,1,3,0,0,0,7,1,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ari Melber,237431,liberal,male,AriMelber,32,1145,28.42,99,7,35.78,10:3,35,20,8,5,1,0,0,1,0,1,2,0,0,1,1,0,1,0,1,1,0,0,0,7,0,2,0,1,2,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Krugman,3583097,liberal,male,paulkrugman,39,2133,34.61,99,4,54.69,99:10,68,32,6,28,0,0,0,0,3,2,1,1,0,2,2,16,0,1,0,0,1,0,0,2,1,2,0,1,2,3,4,0,4,0,2,7,2,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Reich,504706,liberal,male,RBReich,55,4663,22.89,99,13,84.78,99:33,173,133,18,20,3,12,4,3,1,0,3,2,2,3,4,3,2,0,3,2,1,1,2,3,8,5,1,2,2,3,5,1,3,2,1,2,1,4,7,2,4,1,3,1,4,3,2,4,1,1,1,7,0,3,1,3,3,3,5,,,,,,,,,,,,,,,,,,,,
Joe Scarborough,1793077,conservative,male,JoeNBC,31,2278,30.66,99,7,73.48,99:16,86,42,15,27,2,1,5,6,2,1,1,2,2,1,2,5,1,0,0,1,2,4,2,3,4,1,3,0,7,3,2,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
